race,age,gender,voting_rate
all,all,both,56
all,18-24,both,39.4
all,25-44,both,49
all,45-64,both,61.7
all,65-74,both,70.1
all,75+,both,66
all,all,male,53.8
all,18-24,male,36.5
all,25-44,male,45.5
all,45-64,male,59.9
all,65-74,male,70.5
all,75+,male,69.3
all,all,female,58.1
all,18-24,female,42.4
all,25-44,female,52.3
all,45-64,female,63.3
all,65-74,female,69.8
all,75+,female,63.6
nh_white,all,both,64.1
nh_white,18-24,both,45.8
nh_white,25-44,both,58.4
nh_white,45-64,both,68.4
nh_white,65-74,both,74.5
nh_white,75+,both,69.9
nh_white,all,male,62.5
nh_white,18-24,male,44.1
nh_white,25-44,male,55.7
nh_white,45-64,male,66.6
nh_white,65-74,male,74.1
nh_white,75+,male,73.6
nh_white,all,female,65.6
nh_white,18-24,female,47.6
nh_white,25-44,female,61
nh_white,45-64,female,70.1
nh_white,65-74,female,74.9
nh_white,75+,female,67.3
black,all,both,55.9
black,18-24,both,40.2
black,25-44,both,52.2
black,45-64,both,62.1
black,65-74,both,68.6
black,75+,both,63.5
black,all,male,50.5
black,18-24,male,36.5
black,25-44,male,44.1
black,45-64,male,58.3
black,65-74,male,67.9
black,75+,male,62.3
black,all,female,60.4
black,18-24,female,43.7
black,25-44,female,59.1
black,45-64,female,65.3
black,65-74,female,69
black,75+,female,64.3
hispanic,all,both,32.5
hispanic,18-24,both,27.2
hispanic,25-44,both,28.7
hispanic,45-64,both,36.7
hispanic,65-74,both,47.8
hispanic,75+,both,42.2
hispanic,all,male,29.9
hispanic,18-24,male,21.8
hispanic,25-44,male,25
hispanic,45-64,male,35.9
hispanic,65-74,male,53.5
hispanic,75+,male,44.8
hispanic,all,female,35.1
hispanic,18-24,female,32.7
hispanic,25-44,female,32.6
hispanic,45-64,female,37.4
hispanic,65-74,female,43
hispanic,75+,female,40.3
asian,all,both,33.9
asian,18-24,both,25.2
asian,25-44,both,28.4
asian,45-64,both,39.9
asian,65-74,both,44.6
asian,75+,both,42.8
asian,all,male,34.2
asian,18-24,male,21.2
asian,25-44,male,28.7
asian,45-64,male,40.6
asian,65-74,male,49.1
asian,75+,male,49.5
asian,all,female,33.6
asian,18-24,female,29.5
asian,25-44,female,28.2
asian,45-64,female,39.2
asian,65-74,female,40.9
asian,75+,female,37.8